# apricorn pin table: ARM9 static main (RAM image after crt0 decompression)
#
# ROM: HeartGold (US) retail, SHA-1 4fcded0e2713dc03929845de631d0932ea2b5a37
# ARM9 image: 0x02000000..0x02111EF8 (decompressed size 0x111EF8),
#   SHA-1 ad8d4da6bb5c010844dae8260212c86beef565fc
#
# Columns (tab-separated): name, mode, address, size, prologue-sha1, discovered-by
#   mode: arm | thumb | data
#   prologue-sha1: SHA-1 over the first min(16, size) bytes at the address
#     (arm/thumb pins always use 16 bytes; a hash of zero bytes marks a .bss
#     pin whose address lies beyond the image end — the loader zeroes it).
#   discovered-by: how the pin was located (literal-pool scan of a known
#     constant, or a cross-reference in pret's labeled lib/asm/nitro.s).
#
# The math_util functions were found by scanning for the LCG multiplier
# 0x41C64E6D / MT multiplier 0x6C078965 / tempering and XOR constants and
# decoding the surrounding Thumb code; the SDK MATH_* functions carry real
# addresses in pret's `lib/asm/nitro.s` and were matched by prologue.
Save_MapObjects_sizeof	thumb	0x0203B920	6	99e17284276d8971157435f11ba4686027a6c2b5	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_LinkBattleRuleset_sizeof	thumb	0x020290B8	4	99383b08a837c72ba2c5a4bacf53dddef5422825	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_FashionData_sizeof	thumb	0x0202B98C	4	7af4e34db45be934f6e385cdb512772d4b881188	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_Mailbox_sizeof	thumb	0x0202B518	6	9e2f54ff46d0b63a5f9bb68a5f371a73a92bcc9a	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_FriendGroup_sizeof	thumb	0x0202C730	6	1851e4a1645e56f2860825093e3d6b6fd3f89cc8	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_TrainerCard_sizeof	thumb	0x0202C9A0	6	d88dc9299e7e5b4d3eebf9abd92c9f4e5e4dda03	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
GameStats_sizeof	thumb	0x0202CF1C	6	736101466a4ec2ca2c537e18d1adba7738640568	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_SealCase_sizeof	thumb	0x0202CBC0	6	7d64dbb66da166bdc167f700bc35028f4d0954b9	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_Chatot_sizeof	thumb	0x0202CE30	6	eaef769f5320e7a814d80e4c8b52e14fadb38c65	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_Frontier_sizeof	thumb	0x02031000	4	850f75eb3a14f5e356c564e9495a838811c6ffe9	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_SpecialRibbons_sizeof	thumb	0x0202D938	4	113e6fc204b6a8193950c4a97cbe9691bd2e9ba6	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_Roamers_sizeof	thumb	0x0202D968	4	dc65fbca8a6cfac440c84a8b4f34ffc5ec016f79	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
sub_0202DB40	thumb	0x0202DB40	4	d73aaae7863794b78f9884b78c519746de858771	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
sub_0202E41C	thumb	0x0202E41C	4	e45ed950f74646cbd1334c33623be755ab0534c2	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_Rankings_sizeof	thumb	0x0202E4F4	6	23d7a51d3881274e171a748bfca6714b29583ce2	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
sub_0202C034	thumb	0x0202C034	6	f35bbfb267f7751dd2408d5ef35ab1ef095e830d	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_WiFiHistory_sizeof	thumb	0x0202CA24	4	e9a39569ad2ac4b9b937b31809c8736fc5abcc8f	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_MysteryGift_sizeof	thumb	0x0202DBA8	6	8f3c079daa6d3e89d778557123577fe11562de83	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
MigratedPokemon_GetSize	thumb	0x0202EB30	4	d70b9112ac7d6310c8ce4ae6a2e8e511a340d408	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
PokeathlonSave_FriendshipRecords_sizeof	thumb	0x02031AF0	4	ccd792d45b4f2ff5f5de2862d55eb3e41f7c0f50	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_EasyChat_sizeof	thumb	0x02015BF0	4	54275dd6ca470b255ea369e3e30a28b8700170ef	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
sub_0203170C	thumb	0x0203170C	4	27505294a517fe5d0501d1d5e1e864e538ee809b	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
sub_020318C8	thumb	0x020318C8	4	37fd2195819c8004d9b9202cf8398fd7012fb609	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_FollowMon_sizeof	thumb	0x0202ED18	4	b234f6e335c9acfdda4780806d61a428f5804e44	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
SaveData_Pokegear_sizeof	thumb	0x0202ED74	4	793248abe40b444e006013553eb3e6f3584d26a2	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_SafariZone_sizeof	thumb	0x0202F574	4	4cec57b292f7b1de8ce7166bee00e363e0ef5959	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_PhotoAlbum_sizeof	thumb	0x0202FA5C	4	667cda0a718d92836853136f798f422ec1633757	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
